State,Constituency,Candidate,Party,Votes
MP,BANDHAVGARH,SARAJU KOL,Sapaks Party,2981
,,,,
MP,BANDHAVGARH,JHAMUA KOL,Independent,1203
,,,,
MP,BANDHAVGARH,KRISHN KUMAR,Aam Aadmi Party,1151
,,,,
MP,BANDHAVGARH,VIJAY SINGH,Bhartiya Shakti Chetna Party,1132
,,,,
MP,BANDHAVGARH,None of the Above,None of the Above,5037
,,,,
MP,BARGHAT,"""ARJUN SINGH""",Indian National Congress,90053
,,,,
MP,BARGHAT,NARESH WARKADE,Bharatiya Janata Party,82526
,,,,
MP,BARGHAT,SHRISHYAM DHURVEY,Gondvana Gantantra Party,6320
,,,,
MP,BARGHAT,SHASHI/KISHORI BHALAVI,Bahujan Samaj Party,2359
,,,,
MP,BARGHAT,ANIL SALLAM,Communist Party of India  (Marxist),1755
,,,,
MP,BARGHAT,NEPAL SINGH UIKEY,Independent,1602
,,,,
MP,BARGHAT,NARENDRA KUNJAM,Aam Aadmi Party,1066
,,,,
MP,BARGHAT,None of the Above,None of the Above,2372
,,,,
MP,BARGI,"SANJAY YADAV ""SEONI TOLA""",Indian National Congress,86901
,,,,
MP,BARGI,PRATIBHA SINGH,Bharatiya Janata Party,69338
,,,,
MP,BARGI,SHANKER SINGH,Independent,3281
,,,,
MP,BARGI,ADVOCATE SIDDHARTH GUPTA,Gondvana Gantantra Party,2376
,,,,
MP,BARGI,RAM MANOHAR,Bahujan Samaj Party,1895
,,,,
MP,BARGI,ANEETA,Bhartiya Shakti Chetna Party,1655
,,,,
MP,BARGI,SHIV PRASAD,Independent,1043
,,,,
MP,BARGI,SARJU MASRAM,Independent,899
,,,,
MP,BARGI,SMT. JYOTI NITIN SINGH,Samajwadi Party,527
,,,,
MP,BARGI,VINOD MEADHTO,Independent,456
,,,,
MP,BARGI,DR. ANUJA PATEL (LODHI),Independent,448
,,,,
MP,BARGI,INDAL SINGH,Nirbal Indian Shoshit Hamara Aam Dal,390
,,,,
MP,BARGI,SURESH SHING SATNAMI,Bhartiya Panchyat Party,389
,,,,
MP,BARGI,ADVOCATE ABHAY SAHU,Independent,347
,,,,
MP,BARGI,SMT. VIMLAWATI PATEL (VIMLA HARDWARE),Shiv Sena,321
,,,,
MP,BARGI,None of the Above,None of the Above,3091
,,,,
MP,BARWANI (S.T.),PREMSINGH PATEL,Bharatiya Janata Party,88151
,,,,
MP,BARWANI (S.T.),RAJAN MANDLOI,Independent,49364
,,,,
MP,BARWANI (S.T.),RAMESH PATEL,Indian National Congress,34084
,,,,
MP,BARWANI (S.T.),SUMER SINGH BADOLE,Bahujan Samaj Party,1928
,,,,
MP,BARWANI (S.T.),RANA DURGESHSINGH,Independent,1839
,,,,
MP,BARWANI (S.T.),SANJAY MANDLOI,Independent,1756
,,,,
MP,BARWANI (S.T.),CHANDAN S/O JAGAN,Aam Aadmi Party,1371
,,,,
MP,BARWANI (S.T.),None of the Above,None of the Above,4611
,,,,
MP,BASODA,"LEENA SANJAY JAIN ""TAPPU""",Bharatiya Janata Party,73520
,,,,
MP,BASODA,NISHANK KUMAR JAIN,Indian National Congress,63294
,,,,
MP,BASODA,RAVINDRA SINGH RAGHUWANSHI,Sapaks Party,2529
,,,,
MP,BASODA,CHETAN KUMAR AHIRWAR,Bahujan Samaj Party,1690
,,,,
MP,BASODA,MASHKUR ALI,Independent,1003
,,,,
MP,BASODA,MAHARAJ SINGH,Bahujan Sangharshh Dal,803
,,,,
MP,BASODA,NEERAJ SAHU,Independent,751
,,,,
MP,BASODA,RAJENDRA TIWARI,Aam Aadmi Party,398
,,,,
MP,BASODA,HIMMAT SINGH KUSHWAH,Rashtriya Lok Samta Party,318
,,,,
MP,BASODA,ROSHAN,Apna Dal (Soneylal),263
,,,,
MP,BASODA,DEVENDRA SINGH,Independent,257
,,,,
MP,BASODA,MAHESH KUMAR RAJORIYA,Bhartiya Panchyat Party,185
,,,,
MP,BASODA,None of the Above,None of the Above,1220
,,,,
MP,BEOHARI,KOL SARAD JUGLAL,Bharatiya Janata Party,78007
,,,,
MP,BEOHARI,TEJ PRATAP SINGH UIKEY,Gondvana Gantantra Party,45557
,,,,
MP,BEOHARI,RAMPAL SINGH,Indian National Congress,38557
,,,,
MP,BEOHARI,RAM VISHAL KOL,Bahujan Samaj Party,5004
,,,,
