,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
79,27,Jhunjhunu,RAJENDRA SINGH BHAMBOO,Bharatiya Janata Party,40565,18412,BRIJENDRA SINGH OLA,Indian National Congress,Rajasthan,BRIJENDRA SINGH OLA,Indian National Congress
80,128,Jodhpur,ATUL BHANSALI,Bharatiya Janata Party,5849,14510,KAILASH BHANSHALI,Bharatiya Janata Party,Rajasthan,MANISHA PANWAR,Indian National Congress
81,70,Kaman,JAWAHAR SINGH BEADHAM,Bharatiya Janata Party,39621,3357,KU. JAGAT SINGH,Bharatiya Janata Party,Rajasthan,ZAHIDA KHAN,Indian National Congress
82,167,Kapasan,ANANDI RAM,Indian National Congress,7002,30246,ARJUN LAL JEENGAR,Bharatiya Janata Party,Rajasthan,ARJUN LAL JINGAR,Bharatiya Janata Party
83,3,Karanpur,PRITHIPAL SINGH,Independent,28376,3853,SURENDER PAL SINGH,Bharatiya Janata Party,Rajasthan,GURMEET SINGH KOONER,Indian National Congress
84,83,Karauli,DARSHAN SINGH,Indian National Congress,9562,17167,DARSHAN SINGH,Indian National Congress,Rajasthan,LAKHAN SINGH,Bahujan Samaj Party
85,69,Kathumar ,BABULAL MANAGER,Bharatiya Janata Party,14168,15730,MANGAL RAM,Bharatiya Janata Party,Rajasthan,BABULAL,Indian National Congress
86,105,Kekri ,RAJENDRA VINAYAKA,Bharatiya Janata Party,19461,8867,SHATRUGHAN GAUTAM,Bharatiya Janata Party,Rajasthan,RAGHU SHARMA,Indian National Congress
87,185,Keshoraipatan ,RAKESH BOYAT,Indian National Congress,7119,12731,BABOO LAL VERMA,Bharatiya Janata Party,Rajasthan,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party
88,12,Khajuwala ,DR. VISHWANATH,Bharatiya Janata Party,31089,8357,VISHWANATH,Bharatiya Janata Party,Rajasthan,GOVIND RAM,Indian National Congress
