SHATRUGHAN PRASAD,Bhilai Nagar,Independent,592

SURESH KUMAR ADIL,Bhilai Nagar,Independent,544

THANENDRA SAHU,Bhilai Nagar,Swabhiman Party,319

MO. RAZA SIDDIQUE,Bhilai Nagar,Aam Aadmi Party,276

AENUL HAQUE KHAN,Bhilai Nagar,Bhrashtachar Mukti Morcha,216

RAMPYARI BHARTI,Bhilai Nagar,Independent,208

BIJU JOHNSON,Bhilai Nagar,Chhattisgarh Swabhiman Manch,149

JAVED KHAN,Bhilai Nagar,Independent,123

ANWARUL HAQUE,Bhilai Nagar,Independent,91

JANISAR AKHTAR,Bhilai Nagar,Rashtriya Samajwadi Swabhiman Manch,72

MO. NASEEM,Bhilai Nagar,Bahujan Mukti Party,55

None of the Above,Bhilai Nagar,None of the Above,1147

VIKRAM MANDAVI,Bijapur,Indian National Congress,44011

MAHESH GAGDA,Bijapur,Bharatiya Janata Party,22427

CHANDRAIYA SAKNI,Bijapur,Janta Congress Chhattisgarh (J),2696

HARISH PAMBHOI,Bijapur,Independent,2004

SANTOSH PUNEM,Bijapur,Samajwadi Party,999

TRIPAT YALAM,Bijapur,Aam Aadmi Party,942

JAMES KUDIYAM,Bijapur,Independent,920

None of the Above,Bijapur,None of the Above,4703

CHANDRADEV PRASAD RAI,Bilaigarh,Indian National Congress,71936

SHYAM KUMAR TANDAN,Bilaigarh,Bahujan Samaj Party,62089

DR. SANAM JANGDE,Bilaigarh,Bharatiya Janata Party,40623

BHOJ RAM AJAGALE,Bilaigarh,Independent,10595

HARI RAM KURREY,Bilaigarh,Independent,2580

SANJAY KUMAR,Bilaigarh,Independent,1822

SANTOSH KUMAR SONWANI,Bilaigarh,Janata Congress,1083

ER. REVALAL SATNAMI,Bilaigarh,Independent,858

KOMAL PRASAD,Bilaigarh,Gondvana Gantantra Party,839

FULMANI TANDAN,Bilaigarh,Janta Congress Chhattisgarh (J),803

NAND KISHOR DEEP,Bilaigarh,Independent,654

TAKESH ALIAS TAKESHWAR,Bilaigarh,Independent,630

JAGANNATH MAHILANG,Bilaigarh,Aam Aadmi Party,568

NARESH KUMARI AJAY,Bilaigarh,Shiv Sena,456

NITESH KUMAR RATRE,Bilaigarh,Sunder Samaj Party,444

None of the Above,Bilaigarh,None of the Above,2789

SHAILESH PANDEY,Bilaspur,Indian National Congress,67896

AMAR AGRAWAL,Bilaspur,Bharatiya Janata Party,56675

BRIJESH SAHU,Bilaspur,Janta Congress Chhattisgarh (J),3641

DR. SHAILESH AHUJA  ADVOCATE,Bilaspur,Aam Aadmi Party,813

AVISHEK EKKA,Bilaspur,Independent,609

OMPRAKASH SINGH,Bilaspur,Independent,599

TOLARAM RELWANI,Bilaspur,Independent,496

ARJUN SHRIWASH,Bilaspur,Independent,346

AJAY KUMAR WAHNE,Bilaspur,Akhil Bhartiya Sarvadharma Samaj Party,307

SHEKHAR BANJARE,Bilaspur,Independent,195

RAJA KINNAR,Bilaspur,Independent,145

SANTOSH KUMAR KAUSHAL,Bilaspur,Shiv Sena,140

LAXMI KANT PANDEY,Bilaspur,Independent,133

SUSHIL JAIDEO CHAVHAN,Bilaspur,Ambedkarite Party of India,132

SHRIMATI RAJNI SETH,Bilaspur,Aap Sabki Apni Party,116

HAJI ABDUL RAJJAQ KHAN,Bilaspur,Independent,97

ABHISHEK KU. NISHAD,Bilaspur,Bharat Bhoomi Party,91

DR. BALMUKUND SINGH MARAVI,Bilaspur,Gondvana Gantantra Party,80

SHITLA PRASAD TRIPATHI,Bilaspur,Independent,76

MO. SALIM KHAN,Bilaspur,Bharatiya Sadbhawana Samaj Party,74

ANISH CHARAN,Bilaspur,India Praja Bandhu Party,67

RADHESHYAM SHARMA,Bilaspur,Independent,65

PAWAN KUMAR AWASTHI,Bilaspur,Independent,63

ASHISH KUMAR SHRIVASTAV,Bilaspur,Bhartiya Shakti Chetna Party,57

NILESH MASIH,Bilaspur,Independent,53

NARAIN PATRE,Bilaspur,Independent,51

BRIJESH SINGH KAUSHIK,Bilaspur,Independent,44

NEERA DEVI SONWANI,Bilaspur,Independent,37

None of the Above,Bilaspur,None of the Above,1153

DHARAM LAL KAUSHIK,Bilha,Bharatiya Janata Party,84431

RAJENDRA SHUKLA,Bilha,Indian National Congress,57907

SIYARAM KAUSHIK,Bilha,Janta Congress Chhattisgarh (J),29613

MANOJ THAKUR,Bilha,Independent,4518

SARDAR JASBEER SINGH,Bilha,Aam Aadmi Party,4428

DILIP KUMAR KOSHLE,Bilha,Independent,2583

NIKHADRAM NISHAD,Bilha,Nationalist Congress Party,1606

DEVPRASAD,Bilha,Independent,1215

GANESHRAM JOSHI,Bilha,Independent,1176

NAND KISHORE RAJ,Bilha,Gondvana Gantantra Party,747

VIJAY SHANKAR PATRE,Bilha,Ambedkarite Party of India,718

USMAN KHAN,Bilha,Independent,684

CHANDRAKALA DHIDHI,Bilha,Independent,637

DEVRAM SAHU,Bilha,Bharat Bhoomi Party,620

PRAMOD KUMAR GADEWAL,Bilha,Independent,616

SATVAN SINGH TANDON,Bilha,Independent,586

SURESH PANDEY,Bilha,Independent,321

